# wavel(angs) energy(keV) xsect_ext(1.e-4) xsect_sca(1.e-4) xsect_abs(1.e-4)
15.0 0.8266666666666667 1.096973763029226 0.5056898946525881 0.591283868376638
15.006006006006006 0.8263358014808886 1.0975612380588065 0.5058410484404616 0.5917201896183447
15.012012012012011 0.8260052010402081 1.0981472512976824 0.5059917304536369 0.5921555208440454
15.018018018018019 0.8256748650269945 1.0987318062368014 0.5061419416762254 0.5925898645605762
15.024024024024024 0.8253447931241255 1.099314906335015 0.5062916830776885 0.5930232232573265
15.03003003003003 0.8250149850149849 1.0999013127000776 0.5064403604375518 0.5934609522625257
15.036036036036036 0.8246854403834631 1.1004986007340363 0.5065870290101983 0.5939115717238379
15.042042042042041 0.8243561589139549 1.101094408565118 0.5067332375364382 0.5943611710286798
15.048048048048049 0.8240271402913589 1.1016887398396398 0.5068789870393215 0.5948097528003182
15.054054054054054 0.8236983842010771 1.1022815981542728 0.5070242785632537 0.5952573195910191
15.06006006006006 0.8233698903290129 1.1028729870795801 0.5071691131208984 0.5957038739586817
15.066066066066066 0.8230416583615706 1.1034629101737132 0.5073134916997074 0.5961494184740058
15.072072072072071 0.8227136879856545 1.1040513709762825 0.5074574152861874 0.5965939556900951
15.078078078078079 0.8223859788886676 1.1046383730133515 0.5076008848618903 0.5970374881514613
15.084084084084084 0.8220585307585109 1.1052239198027727 0.5077439013997133 0.5974800184030594
15.09009009009009 0.8217313432835821 1.1058080148485718 0.5078864658719163 0.5979215489766555
15.096096096096096 0.821404416152775 1.106390661642776 0.5080285792487956 0.5983620823939805
15.102102102102101 0.8210777490554783 1.106971863669217 0.5081702424946585 0.5988016211745584
15.108108108108109 0.8207513416815742 1.1075516243998256 0.5083114565724218 0.5992401678274039
15.114114114114114 0.8204251937214384 1.108129947294482 0.5084522224437231 0.599677724850759
15.12012012012012 0.8200993048659384 1.1087066448000182 0.5085919715272216 0.6001146732727967
15.126126126126126 0.8197736748064324 1.1092725606430398 0.5087033968546373 0.6005691637884026
15.132132132132131 0.8194483032347688 1.1098370657034289 0.5088144354363318 0.601022630267097
15.138138138138139 0.819123189843285 1.1104001633872997 0.5089250880812523 0.6014750753060475
15.144144144144144 0.8187983343248066 1.1109618570897757 0.5090353555960658 0.6019265014937097
15.15015015015015 0.8184737363726462 1.1115221501954962 0.5091452387873685 0.6023769114081277
15.156156156156156 0.8181493956806024 1.1120810460787052 0.5092547384588709 0.6028263076198344
15.162162162162161 0.817825311942959 1.11263854810531 0.5093638554119375 0.6032746926933724
15.168168168168169 0.8175014848544843 1.113194659628989 0.5094725904472966 0.6037220691816925
15.174174174174174 0.8171779141104294 1.1137493839944335 0.5095809443638893 0.6041684396305442
15.18018018018018 0.8168545994065282 1.1143027245366892 0.509688917957715 0.6046138065789742
15.186186186186186 0.8165315404389955 1.1148546845803096 0.5097965120242268 0.6050581725560827
15.192192192192191 0.8162087369045266 1.1154052674395807 0.5099037273571442 0.6055015400824365
15.198198198198199 0.8158861885002963 1.1159544764204046 0.5100105647476209 0.6059439116727837
15.204204204204204 0.8155638949239581 1.1165023148179543 0.5101170249857807 0.6063852898321735
15.21021021021021 0.8152418558736426 1.1170487859170632 0.5102231088602552 0.6068256770568079
15.216216216216216 0.8149200710479573 1.1175884531163156 0.510312778500861 0.6072756746154546
15.222222222222221 0.8145985401459853 1.1181227610524456 0.5103902877588425 0.6077324732936029
15.228228228228229 0.8142772628672845 1.1186557301378102 0.5104674822542127 0.6081882478835976
15.234234234234235 0.8139562389118865 1.1191873635912557 0.5105443626174259 0.6086430009738297
15.24024024024024 0.8136354679802956 1.1197176646223705 0.5106209294778543 0.6090967351445162
15.246246246246246 0.8133149497734883 1.1202466364303427 0.5106971834641763 0.6095494529661666
15.252252252252251 0.8129946839929121 1.120774282205294 0.5107731252035145 0.6100011570017794
15.258258258258259 0.8126746703404841 1.1213006051283394 0.5108487553217207 0.6104518498066187
15.264264264264265 0.8123549085185914 1.121825608370371 0.5109240744438701 0.6109015339265008
15.27027027027027 0.8120353982300884 1.122349295093333 0.5109990831938551 0.6113502118994778
15.276276276276276 0.8117161391782977 1.122871668449671 0.5110737821938218 0.6117978862558491
15.282282282282281 0.8113971310670073 1.123392731582749 0.5111481720653962 0.6122445595173528
15.288288288288289 0.8110783736004713 1.1239124876262212 0.5112222534291256 0.6126902341970955
15.294294294294295 0.8107598664834085 1.1244309397048295 0.5112960269038116 0.613134912801018
15.3003003003003 0.8104416094210009 1.1249480909341163 0.5113694931074886 0.6135785978266276
15.306306306306306 0.8101236021188934 1.1254639444201324 0.511442652657215 0.6140212917629175
15.312312312312311 0.8098058442831927 1.1259908709943334 0.5115193947141058 0.6144714762802275
15.318318318318319 0.8094883356204665 1.126517277954581 0.511596076040142 0.6149212019144389
15.324324324324325 0.8091710758377425 1.1270423704564 0.5116724464232926 0.6153699240331075
15.33033033033033 0.8088540646425073 1.1275661516382256 0.5117485064845813 0.6158176451536443
15.336336336336336 0.8085373017427061 1.1280886246297754 0.5118242568441698 0.6162643677856057
15.342342342342342 0.808220786846741 1.128609792551081 0.5118996981211847 0.6167100944298962
15.348348348348349 0.8079045196634709 1.1291296585133075 0.5119748309336905 0.6171548275796169
15.354354354354355 0.8075884999022099 1.129648225618367 0.5120496558983367 0.6175985697200302
15.36036036036036 0.8072727272727273 1.1301654969590047 0.5121241736307411 0.6180413233282636
15.366366366366366 0.8069572014852452 1.1306814756190677 0.5121983847457728 0.6184830908732949
15.372372372372372 0.8066419222504395 1.1311961646733182 0.5122722898567454 0.6189238748165727
